tribunal,grau,nome_orgao,ano,mes,processo,codigo_da_ultima_classe,nome_da_ultima_classe,codigos_assuntos,data_de_referencia,formato,codigo_orgao,status,data_de_inicio,data_da_ultima_movimentacao,dias_de_antiguidade,codigo,descricao
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,5002068-90.2016.8.21.0008,11881,AGRAVO EM RECURSO ESPECIAL,12837.0,06/09/2024,Eletronico,12728,Baixado,26/06/2024,,,12837.0,Despesa
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,0700741-38.2019.8.02.0022,11881,AGRAVO EM RECURSO ESPECIAL,10301.0,12/09/2024,Eletronico,12728,Baixado,13/05/2024,,,10301.0,Ferias
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,0005902-21.2012.8.16.0024,11881,AGRAVO EM RECURSO ESPECIAL,10438.0,27/08/2024,Eletronico,12728,Baixado,13/05/2024,,,10438.0,Dano Ambiental
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,6,0010358-34.2019.8.17.3130,11881,AGRAVO EM RECURSO ESPECIAL,10638.0,27/06/2024,Eletronico,12728,Baixado,01/04/2024,,,10638.0,Acumulacao de Proventos
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,5081733-93.2021.4.02.5101,11881,AGRAVO EM RECURSO ESPECIAL,10313.0,23/08/2024,Eletronico,12728,Baixado,16/04/2024,,,10313.0,"Reajustes de Remuneracao, Proventos ou Pensao"
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,5081733-93.2021.4.02.5101,11881,AGRAVO EM RECURSO ESPECIAL,2458.0,23/08/2024,Eletronico,12728,Baixado,16/04/2024,,,2458.0,Salario / Diferenca Salarial
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,0001659-40.2012.8.26.0126,11881,AGRAVO EM RECURSO ESPECIAL,6107.0,12/09/2024,Eletronico,12728,Baixado,28/05/2024,,,6107.0,Auxilio-Acidente (Art. 86)
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,5001624-34.2022.8.08.0000,11881,AGRAVO EM RECURSO ESPECIAL,5951.0,12/09/2024,Eletronico,12728,Baixado,12/06/2024,,,5951.0,ISS/ Imposto sobre Servicos
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,1005963-70.2022.8.26.0302,1032,RECURSO ESPECIAL,7617.0,22/08/2024,Eletronico,12728,Baixado,12/06/2024,,,7617.0,Telefonia
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,6,1001233-41.2020.8.26.0575,11881,AGRAVO EM RECURSO ESPECIAL,9608.0,17/06/2024,Eletronico,12728,Baixado,18/04/2024,,,9608.0,Franquia
