tribunal,grau,nome_orgao,ano,mes,processo,codigo_da_ultima_classe,nome_da_ultima_classe,codigos_assuntos,data_de_referencia,formato,codigo_orgao,status,data_de_inicio,data_da_ultima_movimentacao,dias_de_antiguidade,codigo,descricao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7000434-42.2021.7.00.0000,417,APELACAO CRIMINAL,10940,2024-04-17,Eletronico,82294,Baixado,2021-06-22,,,10940,Depoimento
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7000434-42.2021.7.00.0000,417,APELACAO CRIMINAL,11177,2024-04-17,Eletronico,82294,Baixado,2021-06-22,,,11177,Apropriacao indebita
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7000434-42.2021.7.00.0000,417,APELACAO CRIMINAL,8919,2024-04-17,Eletronico,82294,Baixado,2021-06-22,,,8919,Nulidade
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,2,7000384-45.2023.7.00.0000,417,APELACAO CRIMINAL,10940,2024-02-08,Eletronico,82294,Baixado,2023-05-05,,,10940,Depoimento
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,2,7000384-45.2023.7.00.0000,417,APELACAO CRIMINAL,11286,2024-02-08,Eletronico,82294,Baixado,2023-05-05,,,11286,Violencia contra inferior
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,2,7000384-45.2023.7.00.0000,417,APELACAO CRIMINAL,11254,2024-02-08,Eletronico,82294,Baixado,2023-05-05,,,11254,Constrangimento ilegal
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,8,7000443-33.2023.7.00.0000,417,APELACAO CRIMINAL,11167,2024-08-12,Eletronico,82294,Baixado,2023-05-29,,,11167,Estelionato
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7000538-63.2023.7.00.0000,417,APELACAO CRIMINAL,11160,2024-09-03,Eletronico,82294,Baixado,2023-07-05,,,11160,Roubo
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7000538-63.2023.7.00.0000,417,APELACAO CRIMINAL,10952,2024-09-03,Eletronico,82294,Baixado,2023-07-05,,,10952,Fato Atipico
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7000538-63.2023.7.00.0000,417,APELACAO CRIMINAL,11330,2024-09-03,Eletronico,82294,Baixado,2023-07-05,,,11330,Ingresso clandestino
